name	len_te	len_match	N	missmatch_anno	match	match_anno	len_matchRM	match_RM
1360	3409	1451	1818	2	0.425638017013787	0.999413317688472	3408	0.999706658844236
17.6	7439	6603	216	4	0.887619303669848	0.999462293318994	6451	0.867186449791639
1731	4648	4646	170	1	0.999569707401033	0.999784853700516	423	0.0910068846815835
297	6995	6993	471	0	0.999714081486776	1	6163	0.881057898498928
3S18	6126	6125	102	0	0.999836761345087	1	5403	0.881978452497551
412	7567	7050	135	0	0.93167701863354	1	6538	0.864014801110083
BS	5142	5115	128	13	0.994749124854142	0.997471800855698	1887	0.366977829638273
BS3	1790	1788	119	322	0.998882681564246	0.820111731843575	1310	0.731843575418995
BS4	754		6	6	0	0.992042440318302		0
Bari1	1728	1726	47	1	0.998842592592593	0.999421296296296	130	0.0752314814814815
Bari2	1064		12	35	0	0.967105263157895		0
Burdock	6411	6405	95	1	0.999064108563407	0.999844018093901	1298	0.202464514116362
Circe	7450		185	723	0	0.902953020134228	2285	0.306711409395973
Cr1a	4470	824	1374	143	0.184340044742729	0.968008948545861	1419	0.31744966442953
Dm88	4558		185	167	0	0.963361123299693	1447	0.317463799912242
Doc	4725	4467	272	0	0.945396825396825	1	4719	0.998730158730159
Doc2-element	4789		84	66	0	0.986218417206097	1204	0.251409480058467
Doc3-element	4740		364	179	0	0.962236286919831	547	0.115400843881857
Doc4-element	2791		83	836	0	0.700465782873522	67	0.0240057327122895
F-element	4708	4119	448	1	0.874893797790994	0.999787595581988	4699	0.998088360237893
FB	1106	1009	194	4	0.912296564195298	0.996383363471971	153	0.138336347197107
Fw2	3961		51	2188	0	0.447614238828579		0
Fw3	3132		48	1246	0	0.602171136653895		0
G-element	4346	3458	119	5	0.795674183156926	0.998849516797055	2279	0.524390243902439
G2	3102	3098	93	105	0.998710509348807	0.966150870406189	1828	0.5892972275951
G3	4605		95	154	0	0.966558089033659	89	0.0193268186753529
G4	3856	63	118	1132	0.016338174273859	0.70643153526971	826	0.214211618257261
G5	4856		139	113	0	0.97672981878089	2538	0.522652388797364
G5A	2841		114	336	0	0.881731784582893	955	0.336149243224217
G6	2042	2030	53	2	0.994123408423115	0.999020568070519	575	0.281586679725759
G7	1192		18	1	0	0.999161073825503		0
GATE	8507	2105	252	984	0.247443282003056	0.884330551310685	2105	0.247443282003056
HB	1653		141	2	0	0.998790078644888	525	0.317604355716878
HMS-Beagle	7062	7061	425	1232	0.999858397054659	0.825545171339564	6528	0.924384027187766
HMS-Beagle2	7220	6401	254	684	0.886565096952909	0.905263157894737	3367	0.466343490304709
HeT-A	6083	977	33	50	0.160611540358376	0.991780371527207	3335	0.548249219135295
Helena	1317		37	61	0	0.953682611996963		0
Helitron	564		1	1	0	0.99822695035461		0
I-element	5371	5355	222	86	0.997021038912679	0.983988084155651	1946	0.362316142245392
INE-1	611		4900	5	0	0.991816693944354	233	0.381342062193126
Idefix	7411	7408	407	8	0.99959519632978	0.99892052354608	2027	0.273512346511942
Ivk	5402	5401	123	28	0.999814883376527	0.994816734542762	2476	0.458348759718623
Juan	4236	4232	35	0	0.999055712936733	1	4221	0.996458923512748
Max-element	8556	8554	320	3	0.999766245909303	0.999649368863955	7913	0.924848059841047
McClintock	6450	6448	1		0.99968992248062	0	5449	0.844806201550388
NOF	4347		26	2792	0	0.357717966413619		0
Osvaldo	1543		46	226	0	0.853532080362929	1542	0.999351911860013
P-element	2907		1	2870	0	0.0127278981768146		0
Porto1	4682		174	1558	0	0.667236223835968	900	0.192225544639043
Q-element	759	758	9	537	0.998682476943346	0.292490118577075	665	0.876152832674572
Quasimodo	7387	7385	370	0	0.999729254095032	1	3760	0.509002301340192
R1-2	3216		32	628	0	0.804726368159204		0
R1A1-element	5356		270	2	0	0.999626587005228	2321	0.433345780433159
R2-element	3607		37	0	0	1	2262	0.627113945106737
Rt1a	5149	5148	198	1	0.99980578753156	0.99980578753156	2713	0.526898426879006
Rt1b	5171	5170	365	1	0.999806613807774	0.999806613807774	4721	0.912976213498356
Rt1c	5443		187	2828	0	0.480433584420356	874	0.160573213301488
S-element	1736	1735	179	1	0.999423963133641	0.999423963133641	1735	0.999423963133641
S2	1735		64	29	0	0.98328530259366		0
Stalker	7256	6342	177	1379	0.874035281146637	0.809950385887541	5448	0.750826901874311
Stalker2	7672	5674	124	11	0.739572471324296	0.998566214807091	6823	0.889337851929093
Stalker3	372		11	1	0	0.997311827956989	114	0.306451612903226
Stalker4	7359	7358	335	162	0.999864111971735	0.977986139421117	5448	0.740317977986139
TAHRE	10463	2154	33	2851	0.205868297811335	0.727516008792889	2508	0.239701806365287
TART-A	13424		70	12998	0	0.0317342073897497		0
TART-B	10654		54	10368	0	0.026844377698517		0
TART-C	11124		51	10258	0	0.0778496943545487		0
Tabor	7345	7344	76	10	0.999863852961198	0.998638529611981	6332	0.862083049693669
Tc1	1666		76	3	0	0.998199279711885	1207	0.724489795918367
Tc1-2	1644		77	42	0	0.974452554744525	1089	0.662408759124088
Tc3	1743		92	455	0	0.738955823293173		0
Tirant	8526	7675	135	3174	0.900187661271405	0.627726952850106		0
Tom1	410		29	7	0	0.982926829268293	245	0.597560975609756
Transpac	5249	5247	34	1	0.999618975042865	0.999809487521433	4587	0.873880739188417
X-element	4740	4728	263	7	0.99746835443038	0.998523206751055	1331	0.280801687763713
Xanthias	4533		97	3	0	0.99933818663137	2433	0.536730641958968
ZAM	8435		140	1668	0	0.802252519264967	2325	0.275637225844695
accord	7404	3674	69	17	0.496218260399784	0.997703943814155	1797	0.242706645056726
accord2	7650	42	189	2150	0.00549019607843138	0.718954248366013	2464	0.322091503267974
aurora-element	4581	1618	206	1897	0.353197991704868	0.585898275485702	1582	0.345339445535909
baggins	5453		401	162	0	0.970291582615074	2084	0.382174949569045
blood	7410	7407	67	0	0.999595141700405	1	6612	0.892307692307692
copia	5143	4552	160	0	0.885086525374295	1	4592	0.892864087108691
diver	6112	6111	59	0	0.999836387434555	1	5646	0.923756544502618
diver2	4917		495	73	0	0.985153548911938	1191	0.24222086638194
flea	5034	5032	175	2	0.999602701628923	0.999602701628923	4481	0.890147000397298
frogger	2483		15	1	0	0.999597261377366	2074	0.835279903342731
gtwin	7411	4074	202	44	0.549723384158683	0.994062879503441	2627	0.35447308055593
gypsy	7469	7468	269	3	0.999866113268175	0.999598339804525	1456	0.19493908153702
gypsy1	7718	6971	166	1	0.903213267685929	0.9998704327546	6726	0.87146929256284
gypsy10	6006		95	572	0	0.904761904761905	1325	0.220612720612721
gypsy11	4428	573	126	2527	0.12940379403794	0.429313459801265	573	0.12940379403794
gypsy12	10218		518	224	0	0.978077901742024	1121	0.109708357799961
gypsy2	6841		273	360	0	0.947376114603128	1025	0.149831895921649
gypsy3	6973	1768	111	253	0.253549404847268	0.963717194894593	1768	0.253549404847268
gypsy4	6852		312	9	0	0.998686514886165	1392	0.203152364273205
gypsy5	7369	6890	200	2401	0.934997964445651	0.674175600488533	2086	0.283077758176143
gypsy6	7826	6399	295	1008	0.817659085100946	0.871198568872988	4066	0.519550217224636
gypsy7	5486	1961	114	37	0.357455340867663	0.993255559606271	1476	0.269048487057966
gypsy8	4955		409	22	0	0.995560040363269	1464	0.295459132189707
gypsy9	5349		79	3627	0	0.32192933258553		0
hobo	2959	2957	239	1582	0.999324095978371	0.465359918891517	977	0.330179114565732
hopper	1435	1029	100	0	0.717073170731707	1	1279	0.891289198606272
hopper2	1593	823	48	63	0.516635279347144	0.96045197740113	761	0.477715003138732
invader1	4032	4031	217	3	0.999751984126984	0.999255952380952	3185	0.789930555555556
invader2	5124	266	183	13	0.0519125683060109	0.997462919594067	4591	0.895979703356753
invader3	5484	5482	252	18	0.99963530269876	0.99671772428884	3788	0.690736688548505
