name	type	len_te	len_match	N	missmatch_anno	match	match_anno	len_matchRM	match_RM
DF0001340.1	LINE/L1-Tx1	4935		24	0	0	1		0
DF0001341.1	LTR/Gypsy	899	896	2104	1	0.996662958843159	0.99888765294772	586	0.651835372636263
DF0001342.1	LTR	670		140	1	0	0.998507462686567	471	0.702985074626866
DF0001343.1	DNA/hAT-Ac	1710	314	1310	1	0.183625730994152	0.999415204678363	618	0.36140350877193
DF0001344.1	DNA/hAT-Tip100	908	907	439	0	0.998898678414097	1	844	0.929515418502203
DF0001345.1	DNA/hAT-Tip100	525		740	2	0	0.996190476190476	331	0.63047619047619
DF0001346.1	DNA/hAT-Ac	1505	68	2025	4	0.0451827242524917	0.99734219269103	456	0.302990033222591
DF0002201.2	LTR/Gypsy	4725	4724	35	1	0.99978835978836	0.99978835978836	4717	0.998306878306878
DF0002202.1	LTR/Gypsy	888		150	1	0	0.998873873873874	811	0.913288288288288
DF0002203.1	DNA/CMC-EnSpm	202		5193	0	0	1	145	0.717821782178218
DF0002204.1	DNA/TcMar-Tc1	1614	349	13509	0	0.216232961586122	1	1348	0.835192069392813
DF0002205.1	DNA/Kolobok-T2	1176	288	5052	0	0.244897959183674	1	516	0.438775510204082
DF0002206.1	LTR/ERV1	692	685	41	19	0.989884393063584	0.972543352601156	691	0.998554913294798
DF0002207.1	DNA/hAT-Ac	1102	72	1608	20	0.0653357531760436	0.981851179673321	332	0.301270417422868
DF0002208.1	DNA/hAT-Ac	643		1120	1	0	0.998444790046656	344	0.534992223950233
DF0002210.2	Satellite	4704	2124	3109	186	0.451530612244898	0.960459183673469	1511	0.321215986394558
DF0002211.1	DNA/CMC-EnSpm	596		310	0	0	1	593	0.99496644295302
DF0002212.1	LTR/Pao	963		56	1	0	0.998961578400831	962	0.998961578400831
DF0002214.1	DNA/Zisupton	9021	717	601	3281	0.0794812105088127	0.63629309389203	695	0.0770424564904113
DF0002215.1	LTR/Pao	414		65	1	0	0.997584541062802	396	0.956521739130435
DF0002216.1	DNA	234	233	1229	0	0.995726495726496	1	227	0.97008547008547
DF0002217.1	LTR/Gypsy	5200		40	1	0	0.999807692307692	5138	0.988076923076923
DF0002218.1	LTR/Gypsy	147		11	1	0	0.993197278911565		0
DF0002219.1	DNA	7622	900	13273	4291	0.118079244292837	0.437024403043821	895	0.11742324849121
DF0002220.1	LTR/Gypsy	920		115	0	0	1	825	0.896739130434783
DF0002221.2	LTR/Gypsy	439		153	0	0	1		0
DF0002222.2	LTR/Gypsy	6565		17	0	0	1	711	0.108301599390708
DF0002223.1	LINE/L2	1252		1765	1	0	0.999201277955272		0
DF0002224.1	DNA/hAT-Tip100	812		560	10	0	0.987684729064039	275	0.338669950738916
DF0002225.1	LTR/Gypsy	118		9	1	0	0.991525423728813		0
DF0002227.1	LTR/Pao	5818		18	1	0	0.999828119628738	5817	0.999828119628738
DF0002228.1	LTR/Gypsy	5504	5503	87	1	0.999818313953488	0.999818313953488		0
DF0002229.2	LINE/I	5244		145	3	0	0.999427917620137		0
DF0002230.1	LTR/Gypsy	5683		67	5	0	0.999120183001936	5682	0.999824036600387
DF0002231.1	LTR/Gypsy	665	664	333	1	0.998496240601504	0.998496240601504	664	0.998496240601504
DF0002232.1	LTR	193		10033	0	0	1	192	0.994818652849741
DF0002233.1	DNA/hAT	1383	184	110	0	0.133044107013738	1	184	0.133044107013738
DF0002234.1	DNA/hAT-Ac	1081		228	13	0	0.987974098057354	371	0.343200740055504
DF0002235.1	DNA	763	762	11440	0	0.998689384010485	1	632	0.828309305373526
DF0002236.1	LTR/Gypsy	1080		208	7	0	0.993518518518519	703	0.650925925925926
DF0002237.1	LTR/Pao	6150		32	1	0	0.999837398373984	6149	0.999837398373984
DF0002238.2	LTR/ERV1	8568	184	2540	55	0.0214752567693745	0.993580765639589	1820	0.212418300653595
DF0002239.2	LTR/Gypsy	4144		17	1	0	0.999758687258687	681	0.164333976833977
DF0002240.1	DNA	326		2846	0	0	1	141	0.432515337423313
DF0002241.1	DNA/hAT-Ac	2568	592	783	26	0.230529595015576	0.9898753894081	2561	0.997274143302181
DF0002242.1	LTR/Gypsy	478		69	0	0	1		0
DF0002243.2	LTR/Gypsy	4283	4282	51	0	0.999766518795237	1	4280	0.999299556385711
DF0002244.1	LINE/L2	1426		485	286	0	0.799438990182328	397	0.278401122019635
DF0002246.1	DNA/hAT-Tip100	1921	1920	880	32	0.999479437792816	0.98334200937012	1674	0.871421134825612
DF0002247.1	DNA/hAT-Tip100	523		1665	1	0	0.998087954110899	208	0.397705544933078
DF0002249.1	LTR/Gypsy	6521		135	1	0	0.999846649286919	4075	0.624904155804325
DF0002251.2	DNA/hAT-Ac	3728	791	1450	546	0.212178111587983	0.853540772532189	792	0.21244635193133
DF0002252.2	LINE/L1-Tx1	5442	5425	485	7	0.996876148474825	0.998713708195516	616	0.113193678794561
DF0002254.1	LTR/Pao	443	440	165	1	0.993227990970655	0.997742663656885	438	0.988713318284424
